code,system
24635,gprdproduct
11380,gprdproduct
4004,gprdproduct
12456,gprdproduct
18185,gprdproduct
11338,gprdproduct
7528,gprdproduct
19200,gprdproduct
17082,gprdproduct
38991,gprdproduct
17615,gprdproduct
23134,gprdproduct
472,gprdproduct
14502,gprdproduct
24083,gprdproduct
7553,gprdproduct
25462,gprdproduct
7429,gprdproduct
9143,gprdproduct
23131,gprdproduct
4771,gprdproduct
5284,gprdproduct
197,gprdproduct
47107,gprdproduct
5713,gprdproduct
19068,gprdproduct
14057,gprdproduct
35695,gprdproduct
751,gprdproduct
220,gprdproduct
34963,gprdproduct
21966,gprdproduct
27946,gprdproduct
3588,gprdproduct
19853,gprdproduct
12517,gprdproduct
7091,gprdproduct
24461,gprdproduct
8987,gprdproduct
43564,gprdproduct
39846,gprdproduct
32114,gprdproduct
3005,gprdproduct
2414,gprdproduct
1006,gprdproduct
10294,gprdproduct
1048,gprdproduct
1050,gprdproduct
8331,gprdproduct
940,gprdproduct
297,gprdproduct
43525,gprdproduct
36576,gprdproduct
45494,gprdproduct
39233,gprdproduct
34804,gprdproduct
31214,gprdproduct
34867,gprdproduct
6066,gprdproduct
47300,gprdproduct
594,gprdproduct
21182,gprdproduct
31536,gprdproduct
32552,gprdproduct
26211,gprdproduct
13394,gprdproduct
34976,gprdproduct
34585,gprdproduct
37725,gprdproduct
9178,gprdproduct
26248,gprdproduct
18950,gprdproduct
1124,gprdproduct
16786,gprdproduct
34899,gprdproduct
12054,gprdproduct
12651,gprdproduct
7049,gprdproduct
26,gprdproduct
40761,gprdproduct
33657,gprdproduct
35710,gprdproduct
3691,gprdproduct
34012,gprdproduct
13871,gprdproduct
18743,gprdproduct
37837,gprdproduct
29368,gprdproduct
44000,gprdproduct
44808,gprdproduct
20093,gprdproduct
44858,gprdproduct
14030,gprdproduct
8673,gprdproduct
19437,gprdproduct
5721,gprdproduct
18287,gprdproduct
20728,gprdproduct
22912,gprdproduct
34492,gprdproduct
47041,gprdproduct
46952,gprdproduct
13526,gprdproduct
1788,gprdproduct
19172,gprdproduct
37118,gprdproduct
17322,gprdproduct
19142,gprdproduct
34575,gprdproduct
41572,gprdproduct
33659,gprdproduct
581,gprdproduct
33092,gprdproduct
15117,gprdproduct
11793,gprdproduct
30636,gprdproduct
739,gprdproduct
34925,gprdproduct
33850,gprdproduct
34094,gprdproduct
32094,gprdproduct
34443,gprdproduct
34882,gprdproduct
34825,gprdproduct
11711,gprdproduct
9273,gprdproduct
34449,gprdproduct
34265,gprdproduct
21873,gprdproduct
34407,gprdproduct
19055,gprdproduct
34034,gprdproduct
5,gprdproduct
29762,gprdproduct
4542,gprdproduct
31708,gprdproduct
34695,gprdproduct
19182,gprdproduct
2432,gprdproduct
39819,gprdproduct
1684,gprdproduct
34584,gprdproduct
38433,gprdproduct
10429,gprdproduct
8071,gprdproduct
46614,gprdproduct
8642,gprdproduct
10191,gprdproduct
1288,gprdproduct
32135,gprdproduct
4725,gprdproduct
34430,gprdproduct
31470,gprdproduct
36261,gprdproduct
30541,gprdproduct
15176,gprdproduct
33650,gprdproduct
24191,gprdproduct
21133,gprdproduct
32836,gprdproduct
34365,gprdproduct
34890,gprdproduct
42152,gprdproduct
9783,gprdproduct
5478,gprdproduct
9185,gprdproduct
36603,gprdproduct
33644,gprdproduct
34378,gprdproduct
34177,gprdproduct
33085,gprdproduct
35938,gprdproduct
34185,gprdproduct
33836,gprdproduct
25644,gprdproduct
27964,gprdproduct
40241,gprdproduct
30770,gprdproduct
34188,gprdproduct
4796,gprdproduct
3344,gprdproduct
8369,gprdproduct
3474,gprdproduct
7853,gprdproduct
25730,gprdproduct
24195,gprdproduct
43251,gprdproduct
34741,gprdproduct
817,gprdproduct
2629,gprdproduct
34501,gprdproduct
599,gprdproduct
7066,gprdproduct
14058,gprdproduct
46935,gprdproduct
8061,gprdproduct
29427,gprdproduct
33374,gprdproduct
46936,gprdproduct
3167,gprdproduct
45877,gprdproduct
33376,gprdproduct
29230,gprdproduct
26255,gprdproduct
25367,gprdproduct
25359,gprdproduct
753,gprdproduct
8068,gprdproduct
12519,gprdproduct
45250,gprdproduct
34884,gprdproduct
34754,gprdproduct
34690,gprdproduct
46363,gprdproduct
34949,gprdproduct
28128,gprdproduct
9016,gprdproduct
8807,gprdproduct
19998,gprdproduct
8707,gprdproduct
41591,gprdproduct
34821,gprdproduct
1290,gprdproduct
7974,gprdproduct
8262,gprdproduct
41740,gprdproduct
42795,gprdproduct
1597,gprdproduct
2775,gprdproduct
29827,gprdproduct
12141,gprdproduct
38370,gprdproduct
822,gprdproduct
34640,gprdproduct
20468,gprdproduct
26229,gprdproduct
13499,gprdproduct
27727,gprdproduct
20169,gprdproduct
27486,gprdproduct
17679,gprdproduct
1572,gprdproduct
39423,gprdproduct
34520,gprdproduct
13051,gprdproduct
9292,gprdproduct
34945,gprdproduct
32162,gprdproduct
22793,gprdproduct
16645,gprdproduct
35778,gprdproduct
12037,gprdproduct
29610,gprdproduct
17462,gprdproduct
19202,gprdproduct
34740,gprdproduct
4410,gprdproduct
2499,gprdproduct
8935,gprdproduct
17783,gprdproduct
23587,gprdproduct
34208,gprdproduct
34171,gprdproduct
7543,gprdproduct
10627,gprdproduct
45343,gprdproduct
2361,gprdproduct
10777,gprdproduct
28700,gprdproduct
7474,gprdproduct
8290,gprdproduct
3087,gprdproduct
34600,gprdproduct
